,dbas,wind,precipitation,noise,taxi
114,61.46032986111111,13.4,0.0,1.0,620
115,57.97715711805556,12.9,0.0,0.0,625
116,57.93540306335093,12.9,0.0,0.0,529
117,57.76639322916667,13.9,0.0,0.0,530
118,57.039550916921364,12.100000000000001,0.0,0.0,550
119,56.70330295138889,7.7,0.0,0.0,439
120,55.9421584120589,10.8,0.0,0.0,400
121,55.54266493055555,11.3,0.0,0.0,252
122,54.49158186301751,9.3,0.0,0.0,137
123,54.02284288194444,9.8,0.0,0.0,88
124,51.9276882467352,9.55,0.0,0.0,66
125,51.79964409722222,6.45,0.0,0.0,31
126,52.06873871214226,11.3,0.0,0.0,40
127,54.39345486111111,11.3,0.0,0.0,101
128,57.23579466518478,9.3,0.0,0.0,161
129,58.39977430555555,7.7,0.0,1.0,290
130,57.56767939010836,8.25,0.0,0.0,399
131,56.77559027777778,7.7,0.0,0.0,469
132,57.05357825090303,9.8,0.0,0.0,519
133,57.12431423611111,9.8,0.0,0.0,509
134,55.69314827035288,11.3,0.0,0.0,553
135,56.23057291666667,8.8,0.0,0.0,619
136,56.138546006944445,9.55,0.0,0.0,581
137,56.09475722422895,10.3,0.0,0.0,575
138,55.292569444444446,10.3,0.0,0.0,620
139,56.01555987774382,9.55,0.0,0.0,641
140,56.02500868055556,11.8,0.0,1.0,505
141,54.99464260905807,10.3,0.0,0.0,455
142,55.06487413194444,10.3,0.0,0.0,458
143,55.30671280216727,12.4,0.0,0.0,429
144,56.12340711805555,9.8,0.0,0.0,385
145,55.74469904834676,11.100000000000001,0.0,0.0,240
146,54.85394965277778,8.2,0.0,0.0,170
147,54.55324829813837,9.8,0.0,0.0,106
148,51.31776475694444,9.3,0.0,0.0,62
149,50.48425777993887,4.65,0.0,0.0,21
150,51.18575520833333,9.3,0.0,0.0,30
151,50.91333530147263,9.8,0.0,0.0,60
152,52.76133680555556,7.2,0.0,0.0,121
153,52.94414681161434,8.2,0.0,0.0,269
154,54.177408854166664,7.949999999999999,0.0,0.0,358
155,57.84072916666667,6.2,0.0,0.0,436
156,57.05118175187552,5.1,0.0,0.0,512
157,57.17466579861111,4.6,0.0,0.0,512
